Node0 Layer,Node0 X location,Node0 Y location,Node1 Layer,Node1 X location,Node1 Y location,Current
Metal1,20.5300,27.4400,Metal1,20.8700,27.4400,2.055e-11
Metal1,20.5300,35.2800,Metal1,20.8700,35.2800,2.055e-11
Metal1,20.5300,43.1200,Metal1,20.8700,43.1200,2.055e-11
Metal1,20.5300,50.9600,Metal1,20.8700,50.9600,2.067e-11
Metal1,20.5300,58.8000,Metal1,20.8700,58.8000,2.055e-11
Metal1,20.5300,66.6400,Metal1,20.8700,66.6400,2.067e-11
Metal1,20.5300,74.4800,Metal1,20.8700,74.4800,2.055e-11
Metal1,20.5300,82.3200,Metal1,20.8700,82.3200,2.055e-11
Metal1,20.5300,90.1600,Metal1,20.8700,90.1600,2.067e-11
Metal1,20.5300,98.0000,Metal1,20.8700,98.0000,2.055e-11
Metal1,20.5300,105.8400,Metal1,20.8700,105.8400,2.055e-11
Metal1,20.5300,113.6800,Metal1,20.8700,113.6800,2.067e-11
Metal1,20.5300,121.5200,Metal1,20.8700,121.5200,2.055e-11
Metal1,20.5300,129.3600,Metal1,20.8700,129.3600,2.067e-11
Metal1,20.5300,137.2000,Metal1,20.8700,137.2000,2.055e-11
Metal1,20.5300,145.0400,Metal1,20.8700,145.0400,2.055e-11
Metal1,20.5300,152.8800,Metal1,20.8700,152.8800,2.067e-11
Metal1,20.5300,160.7200,Metal1,20.8700,160.7200,2.055e-11
Metal1,20.5300,168.5600,Metal1,20.8700,168.5600,2.055e-11
Metal1,20.5300,176.4000,Metal1,20.8700,176.4000,2.055e-11
Metal1,20.5300,184.2400,Metal1,20.8700,184.2400,2.055e-11
Metal1,20.5300,192.0800,Metal1,20.8700,192.0800,2.067e-11
Metal1,20.5300,199.9200,Metal1,20.8700,199.9200,2.055e-11
Metal1,20.5300,207.7600,Metal1,20.8700,207.7600,2.055e-11
Metal1,20.5300,215.6000,Metal1,20.8700,215.6000,2.067e-11
Metal1,20.5300,223.4400,Metal1,20.8700,223.4400,2.055e-11
Metal1,20.5300,231.2800,Metal1,20.8700,231.2800,2.055e-11
Metal1,20.5300,239.1200,Metal1,20.8700,239.1200,2.055e-11
Metal1,20.5300,246.9600,Metal1,20.8700,246.9600,2.055e-11
Metal1,20.5300,254.8000,Metal1,20.8700,254.8000,2.055e-11
Metal1,20.5300,262.6400,Metal1,20.8700,262.6400,2.067e-11
Metal1,20.5300,270.4800,Metal1,20.8700,270.4800,2.055e-11
Metal1,20.5300,278.3200,Metal1,20.8700,278.3200,2.055e-11
Metal1,20.5300,286.1600,Metal1,20.8700,286.1600,2.055e-11
Metal1,20.5300,294.0000,Metal1,20.8700,294.0000,2.055e-11
Metal1,20.5300,301.8400,Metal1,20.8700,301.8400,2.055e-11
Metal1,20.5300,309.6800,Metal1,20.8700,309.6800,2.067e-11
Metal1,20.5300,317.5200,Metal1,20.8700,317.5200,2.055e-11
Metal1,20.5300,325.3600,Metal1,20.8700,325.3600,2.055e-11
Metal1,20.5300,333.2000,Metal1,20.8700,333.2000,2.067e-11
Metal1,20.5300,341.0400,Metal1,20.8700,341.0400,2.055e-11
Metal1,20.5300,348.8800,Metal1,20.8700,348.8800,2.055e-11
Metal1,20.5300,356.7200,Metal1,20.8700,356.7200,2.055e-11
Metal1,20.5300,364.5600,Metal1,20.8700,364.5600,2.055e-11
Metal1,20.5300,372.4000,Metal1,20.8700,372.4000,2.055e-11
Metal1,20.5300,380.2400,Metal1,20.8700,380.2400,2.067e-11
Metal1,20.5300,388.0800,Metal1,20.8700,388.0800,2.055e-11
Metal1,20.5300,395.9200,Metal1,20.8700,395.9200,2.055e-11
Metal1,20.5300,403.7600,Metal1,20.8700,403.7600,2.055e-11
Metal1,20.5300,411.6000,Metal1,20.8700,411.6000,2.067e-11
Metal1,20.5300,419.4400,Metal1,20.8700,419.4400,2.055e-11
Metal1,20.5300,427.2800,Metal1,20.8700,427.2800,2.067e-11
Metal1,20.5300,435.1200,Metal1,20.8700,435.1200,2.055e-11
Metal1,20.5300,442.9600,Metal1,20.8700,442.9600,2.055e-11
Metal1,20.5300,450.8000,Metal1,20.8700,450.8000,2.067e-11
Metal1,20.5300,458.6400,Metal1,20.8700,458.6400,2.055e-11
Metal1,20.5300,466.4800,Metal1,20.8700,466.4800,2.067e-11
Metal1,20.5300,474.3200,Metal1,20.8700,474.3200,2.067e-11
Metal1,20.5300,482.1600,Metal1,20.8700,482.1600,2.055e-11
Metal1,20.5300,490.0000,Metal1,20.8700,490.0000,2.055e-11
Metal1,20.5300,497.8400,Metal1,20.8700,497.8400,2.055e-11
Metal1,20.5300,505.6800,Metal1,20.8700,505.6800,2.055e-11
Metal1,20.5300,513.5200,Metal1,20.8700,513.5200,2.055e-11
Metal1,20.5300,521.3600,Metal1,20.8700,521.3600,2.055e-11
Metal1,20.5300,529.2000,Metal1,20.8700,529.2000,2.055e-11
Metal1,20.5300,537.0400,Metal1,20.8700,537.0400,2.055e-11
Metal1,20.5300,544.8800,Metal1,20.8700,544.8800,2.055e-11
Metal1,20.5300,552.7200,Metal1,20.8700,552.7200,2.055e-11
Metal1,20.5300,560.5600,Metal1,20.8700,560.5600,2.055e-11
Metal1,20.5300,568.4000,Metal1,20.8700,568.4000,2.067e-11
Metal1,20.5300,576.2400,Metal1,20.8700,576.2400,2.067e-11
Metal1,20.5300,584.0800,Metal1,20.8700,584.0800,2.055e-11
Metal1,20.5300,591.9200,Metal1,20.8700,591.9200,2.067e-11
Metal1,20.5300,599.7600,Metal1,20.8700,599.7600,2.055e-11
Metal1,20.5300,607.6000,Metal1,20.8700,607.6000,2.055e-11
Metal1,20.5300,615.4400,Metal1,20.8700,615.4400,2.055e-11
Metal1,20.5300,623.2800,Metal1,20.8700,623.2800,2.067e-11
Metal1,20.5300,631.1200,Metal1,20.8700,631.1200,2.055e-11
Metal1,20.5300,638.9600,Metal1,20.8700,638.9600,2.055e-11
Metal1,20.5300,646.8000,Metal1,20.8700,646.8000,2.067e-11
Metal1,20.5300,654.6400,Metal1,20.8700,654.6400,2.055e-11
Metal1,20.5300,662.4800,Metal1,20.8700,662.4800,2.067e-11
Metal1,20.5300,670.3200,Metal1,20.8700,670.3200,2.055e-11
Metal1,20.5300,678.1600,Metal1,20.8700,678.1600,2.067e-11
Metal1,20.5300,686.0000,Metal1,20.8700,686.0000,2.055e-11
Metal1,20.5300,693.8400,Metal1,20.8700,693.8400,2.055e-11
Metal1,20.5300,701.6800,Metal1,20.8700,701.6800,2.055e-11
Metal1,20.5300,709.5200,Metal1,20.8700,709.5200,2.055e-11
Metal1,20.5300,717.3600,Metal1,20.8700,717.3600,2.055e-11
Metal1,20.5300,725.2000,Metal1,20.8700,725.2000,2.055e-11
Metal1,20.5300,733.0400,Metal1,20.8700,733.0400,2.055e-11
Metal1,20.5300,740.8800,Metal1,20.8700,740.8800,2.055e-11
Metal1,20.5300,748.7200,Metal1,20.8700,748.7200,2.055e-11
Metal1,20.5300,756.5600,Metal1,20.8700,756.5600,2.055e-11
Metal1,20.5300,764.4000,Metal1,20.8700,764.4000,2.055e-11
Metal1,20.5300,772.2400,Metal1,20.8700,772.2400,2.067e-11
Metal1,20.5300,780.0800,Metal1,20.8700,780.0800,2.055e-11
Metal1,20.5300,787.9200,Metal1,20.8700,787.9200,2.055e-11
Metal1,20.5300,795.7600,Metal1,20.8700,795.7600,2.067e-11
Metal1,20.5300,803.6000,Metal1,20.8700,803.6000,2.067e-11
Metal1,20.5300,811.4400,Metal1,20.8700,811.4400,2.067e-11
Metal1,20.5300,819.2800,Metal1,20.8700,819.2800,2.067e-11
Metal1,20.5300,827.1200,Metal1,20.8700,827.1200,2.055e-11
Metal1,20.5300,834.9600,Metal1,20.8700,834.9600,2.055e-11
Metal1,20.5300,842.8000,Metal1,20.8700,842.8000,2.067e-11
Metal1,20.5300,850.6400,Metal1,20.8700,850.6400,2.055e-11
Metal1,20.5300,858.4800,Metal1,20.8700,858.4800,2.055e-11
Metal1,20.5300,866.3200,Metal1,20.8700,866.3200,2.055e-11
Metal1,20.5300,874.1600,Metal1,20.8700,874.1600,2.067e-11
Metal1,20.5300,882.0000,Metal1,20.8700,882.0000,2.055e-11
Metal1,20.5300,889.8400,Metal1,20.8700,889.8400,2.067e-11
Metal1,20.5300,897.6800,Metal1,20.8700,897.6800,2.055e-11
Metal1,20.5300,905.5200,Metal1,20.8700,905.5200,2.055e-11
Metal1,20.5300,913.3600,Metal1,20.8700,913.3600,2.067e-11
Metal1,20.5300,921.2000,Metal1,20.8700,921.2000,2.055e-11
Metal1,20.5300,929.0400,Metal1,20.8700,929.0400,2.055e-11
Metal1,20.5300,936.8800,Metal1,20.8700,936.8800,2.055e-11
Metal1,20.5300,944.7200,Metal1,20.8700,944.7200,2.055e-11
Metal1,20.5300,952.5600,Metal1,20.8700,952.5600,2.055e-11
Metal1,20.5300,960.4000,Metal1,20.8700,960.4000,2.055e-11
Metal1,20.5300,968.2400,Metal1,20.8700,968.2400,2.055e-11
Metal1,20.5300,976.0800,Metal1,20.8700,976.0800,2.055e-11
Metal1,20.8700,27.4400,Metal1,23.6500,27.4400,3.145e-11
Metal1,20.8700,35.2800,Metal1,22.6450,35.2800,1.628e-12
Metal1,20.8700,43.1200,Metal1,22.0900,43.1200,3.096e-11
Metal1,20.8700,50.9600,Metal1,22.0900,50.9600,3.096e-11
Metal1,20.8700,58.8000,Metal1,22.6500,58.8000,3.121e-11
Metal1,20.8700,66.6400,Metal1,23.2050,66.6400,6.278e-11
Metal1,20.8700,74.4800,Metal1,23.0450,74.4800,9.528e-14
Metal1,20.8700,82.3200,Metal1,22.6500,82.3200,1.610e-12
Metal1,20.8700,90.1600,Metal1,22.0900,90.1600,3.096e-11
Metal1,20.8700,98.0000,Metal1,23.0450,98.0000,1.606e-13
Metal1,20.8700,105.8400,Metal1,23.0450,105.8400,1.579e-13
Metal1,20.8700,113.6800,Metal1,22.9250,113.6800,4.043e-11
Metal1,20.8700,121.5200,Metal1,23.0450,121.5200,2.062e-11
Metal1,20.8700,129.3600,Metal1,21.5300,129.3600,2.059e-11
Metal1,20.8700,137.2000,Metal1,23.0450,137.2000,1.606e-13
Metal1,20.8700,145.0400,Metal1,23.0450,145.0400,2.804e-13
Metal1,20.8700,152.8800,Metal1,22.5900,152.8800,4.062e-12
Metal1,20.8700,160.7200,Metal1,22.5900,160.7200,3.128e-11
Metal1,20.8700,168.5600,Metal1,22.0850,168.5600,3.162e-11
Metal1,20.8700,176.4000,Metal1,22.5900,176.4000,4.479e-12
Metal1,20.8700,184.2400,Metal1,23.0450,184.2400,2.804e-13
Metal1,20.8700,192.0800,Metal1,23.0450,192.0800,1.606e-13
Metal1,20.8700,199.9200,Metal1,22.6200,199.9200,2.049e-11
Metal1,20.8700,207.7600,Metal1,23.0450,207.7600,4.134e-11
Metal1,20.8700,215.6000,Metal1,23.0450,215.6000,3.133e-11
Metal1,20.8700,223.4400,Metal1,23.0450,223.4400,9.528e-14
Metal1,20.8700,231.2800,Metal1,23.0450,231.2800,2.232e-13
Metal1,20.8700,239.1200,Metal1,22.6500,239.1200,4.007e-11
Metal1,20.8700,246.9600,Metal1,23.0450,246.9600,2.777e-13
Metal1,20.8700,254.8000,Metal1,23.0450,254.8000,9.801e-14
Metal1,20.8700,262.6400,Metal1,22.0850,262.6400,3.162e-11
Metal1,20.8700,270.4800,Metal1,23.0450,270.4800,1.579e-13
Metal1,20.8700,278.3200,Metal1,23.0450,278.3200,9.528e-14
Metal1,20.8700,286.1600,Metal1,22.0900,286.1600,3.096e-11
Metal1,20.8700,294.0000,Metal1,23.0450,294.0000,2.063e-11
Metal1,20.8700,301.8400,Metal1,21.5300,301.8400,2.058e-11
Metal1,20.8700,309.6800,Metal1,23.0450,309.6800,2.205e-13
Metal1,20.8700,317.5200,Metal1,22.0850,317.5200,3.162e-11
Metal1,20.8700,325.3600,Metal1,21.5300,325.3600,2.059e-11
Metal1,20.8700,333.2000,Metal1,23.0450,333.2000,2.804e-13
Metal1,20.8700,341.0400,Metal1,23.0450,341.0400,2.804e-13
Metal1,20.8700,348.8800,Metal1,23.0450,348.8800,9.528e-14
Metal1,20.8700,356.7200,Metal1,22.6500,356.7200,1.547e-12
Metal1,20.8700,364.5600,Metal1,23.0450,364.5600,9.528e-14
Metal1,20.8700,372.4000,Metal1,21.6600,372.4000,3.131e-11
Metal1,20.8700,380.2400,Metal1,21.5250,380.2400,2.055e-11
Metal1,20.8700,388.0800,Metal1,24.0600,388.0800,1.708e-13
Metal1,20.8700,395.9200,Metal1,22.6500,395.9200,1.613e-12
Metal1,20.8700,403.7600,Metal1,23.0450,403.7600,9.528e-14
Metal1,20.8700,411.6000,Metal1,22.6500,411.6000,4.007e-11
Metal1,20.8700,419.4400,Metal1,21.5600,419.4400,2.057e-11
Metal1,20.8700,427.2800,Metal1,21.5300,427.2800,2.059e-11
Metal1,20.8700,435.1200,Metal1,22.0850,435.1200,3.162e-11
Metal1,20.8700,442.9600,Metal1,22.0050,442.9600,3.140e-11
Metal1,20.8700,450.8000,Metal1,21.5300,450.8000,2.059e-11
Metal1,20.8700,458.6400,Metal1,21.5300,458.6400,2.059e-11
Metal1,20.8700,466.4800,Metal1,22.0900,466.4800,3.096e-11
Metal1,20.8700,474.3200,Metal1,23.0450,474.3200,1.579e-13
Metal1,20.8700,482.1600,Metal1,22.5900,482.1600,3.128e-11
Metal1,20.8700,490.0000,Metal1,22.3050,490.0000,4.112e-11
Metal1,20.8700,497.8400,Metal1,22.0850,497.8400,3.162e-11
Metal1,20.8700,505.6800,Metal1,22.2200,505.6800,3.146e-11
Metal1,20.8700,513.5200,Metal1,22.5900,513.5200,3.128e-11
Metal1,20.8700,521.3600,Metal1,23.0450,521.3600,2.062e-11
Metal1,20.8700,529.2000,Metal1,23.0450,529.2000,1.579e-13
Metal1,20.8700,537.0400,Metal1,22.5900,537.0400,3.128e-11
Metal1,20.8700,544.8800,Metal1,23.0450,544.8800,1.579e-13
Metal1,20.8700,552.7200,Metal1,21.5750,552.7200,2.052e-11
Metal1,20.8700,560.5600,Metal1,22.7500,560.5600,8.724e-13
Metal1,20.8700,568.4000,Metal1,23.0450,568.4000,9.528e-14
Metal1,20.8700,576.2400,Metal1,25.6700,576.2400,5.013e-11
Metal1,20.8700,584.0800,Metal1,22.6500,584.0800,1.640e-12
Metal1,20.8700,591.9200,Metal1,21.9250,591.9200,3.135e-11
Metal1,20.8700,599.7600,Metal1,22.5900,599.7600,3.577e-12
Metal1,20.8700,607.6000,Metal1,22.5900,607.6000,3.128e-11
Metal1,20.8700,615.4400,Metal1,22.6500,615.4400,1.613e-12
Metal1,20.8700,623.2800,Metal1,22.5900,623.2800,3.128e-11
Metal1,20.8700,631.1200,Metal1,23.0450,631.1200,1.606e-13
Metal1,20.8700,638.9600,Metal1,22.5900,638.9600,3.128e-11
Metal1,20.8700,646.8000,Metal1,22.5900,646.8000,2.057e-11
Metal1,20.8700,654.6400,Metal1,22.6500,654.6400,1.610e-12
Metal1,20.8700,662.4800,Metal1,22.5900,662.4800,3.128e-11
Metal1,20.8700,670.3200,Metal1,23.0450,670.3200,1.579e-13
Metal1,20.8700,678.1600,Metal1,22.6500,678.1600,4.007e-11
Metal1,20.8700,686.0000,Metal1,23.0450,686.0000,9.528e-14
Metal1,20.8700,693.8400,Metal1,21.5250,693.8400,2.055e-11
Metal1,20.8700,701.6800,Metal1,23.0450,701.6800,1.579e-13
Metal1,20.8700,709.5200,Metal1,22.0900,709.5200,3.096e-11
Metal1,20.8700,717.3600,Metal1,21.5250,717.3600,2.056e-11
Metal1,20.8700,725.2000,Metal1,23.0450,725.2000,1.606e-13
Metal1,20.8700,733.0400,Metal1,23.0450,733.0400,9.801e-14
Metal1,20.8700,740.8800,Metal1,22.5900,740.8800,3.128e-11
Metal1,20.8700,748.7200,Metal1,23.2400,748.7200,5.082e-11
Metal1,20.8700,756.5600,Metal1,23.0450,756.5600,1.606e-13
Metal1,20.8700,764.4000,Metal1,22.5900,764.4000,2.057e-11
Metal1,20.8700,772.2400,Metal1,23.0450,772.2400,1.606e-13
Metal1,20.8700,780.0800,Metal1,23.0450,780.0800,3.133e-11
Metal1,20.8700,787.9200,Metal1,22.5900,787.9200,2.057e-11
Metal1,20.8700,795.7600,Metal1,23.0450,795.7600,2.063e-11
Metal1,20.8700,803.6000,Metal1,22.5900,803.6000,4.217e-12
Metal1,20.8700,811.4400,Metal1,22.5900,811.4400,3.128e-11
Metal1,20.8700,819.2800,Metal1,22.5900,819.2800,2.057e-11
Metal1,20.8700,827.1200,Metal1,22.5900,827.1200,6.233e-10
Metal1,20.8700,834.9600,Metal1,22.5900,834.9600,3.463e-12
Metal1,20.8700,842.8000,Metal1,23.7100,842.8000,5.212e-11
Metal1,20.8700,850.6400,Metal1,22.5900,850.6400,4.482e-12
Metal1,20.8700,858.4800,Metal1,22.5900,858.4800,4.479e-12
Metal1,20.8700,866.3200,Metal1,23.0450,866.3200,2.205e-13
Metal1,20.8700,874.1600,Metal1,22.5650,874.1600,1.652e-12
Metal1,20.8700,882.0000,Metal1,22.6450,882.0000,4.180e-11
Metal1,20.8700,889.8400,Metal1,21.5250,889.8400,2.056e-11
