Node0 Layer,Node0 X location,Node0 Y location,Node1 Layer,Node1 X location,Node1 Y location,Current
Metal1,20.5300,23.5200,Metal1,20.8700,23.5200,1.000e-11
Metal1,20.5300,31.3600,Metal1,20.8700,31.3600,2.000e-11
Metal1,20.5300,39.2000,Metal1,20.8700,39.2000,2.000e-11
Metal1,20.5300,47.0400,Metal1,20.8700,47.0400,2.000e-11
Metal1,20.5300,54.8800,Metal1,20.8700,54.8800,2.000e-11
Metal1,20.5300,62.7200,Metal1,20.8700,62.7200,2.000e-11
Metal1,20.5300,70.5600,Metal1,20.8700,70.5600,2.000e-11
Metal1,20.5300,78.4000,Metal1,20.8700,78.4000,2.000e-11
Metal1,20.5300,86.2400,Metal1,20.8700,86.2400,2.000e-11
Metal1,20.5300,94.0800,Metal1,20.8700,94.0800,2.000e-11
Metal1,20.5300,101.9200,Metal1,20.8700,101.9200,2.000e-11
Metal1,20.5300,109.7600,Metal1,20.8700,109.7600,2.000e-11
Metal1,20.5300,117.6000,Metal1,20.8700,117.6000,2.000e-11
Metal1,20.5300,125.4400,Metal1,20.8700,125.4400,2.000e-11
Metal1,20.5300,133.2800,Metal1,20.8700,133.2800,2.000e-11
Metal1,20.5300,141.1200,Metal1,20.8700,141.1200,2.000e-11
Metal1,20.5300,148.9600,Metal1,20.8700,148.9600,2.000e-11
Metal1,20.5300,156.8000,Metal1,20.8700,156.8000,2.000e-11
Metal1,20.5300,164.6400,Metal1,20.8700,164.6400,2.000e-11
Metal1,20.5300,172.4800,Metal1,20.8700,172.4800,2.000e-11
Metal1,20.5300,180.3200,Metal1,20.8700,180.3200,2.000e-11
Metal1,20.5300,188.1600,Metal1,20.8700,188.1600,2.000e-11
Metal1,20.5300,196.0000,Metal1,20.8700,196.0000,2.000e-11
Metal1,20.5300,203.8400,Metal1,20.8700,203.8400,2.000e-11
Metal1,20.5300,211.6800,Metal1,20.8700,211.6800,2.000e-11
Metal1,20.5300,219.5200,Metal1,20.8700,219.5200,2.000e-11
Metal1,20.5300,227.3600,Metal1,20.8700,227.3600,2.000e-11
Metal1,20.5300,235.2000,Metal1,20.8700,235.2000,2.000e-11
Metal1,20.5300,243.0400,Metal1,20.8700,243.0400,2.000e-11
Metal1,20.5300,250.8800,Metal1,20.8700,250.8800,2.000e-11
Metal1,20.5300,258.7200,Metal1,20.8700,258.7200,2.000e-11
Metal1,20.5300,266.5600,Metal1,20.8700,266.5600,2.000e-11
Metal1,20.5300,274.4000,Metal1,20.8700,274.4000,2.000e-11
Metal1,20.5300,282.2400,Metal1,20.8700,282.2400,2.000e-11
Metal1,20.5300,290.0800,Metal1,20.8700,290.0800,2.000e-11
Metal1,20.5300,297.9200,Metal1,20.8700,297.9200,2.000e-11
Metal1,20.5300,305.7600,Metal1,20.8700,305.7600,2.000e-11
Metal1,20.5300,313.6000,Metal1,20.8700,313.6000,2.000e-11
Metal1,20.5300,321.4400,Metal1,20.8700,321.4400,2.000e-11
Metal1,20.5300,329.2800,Metal1,20.8700,329.2800,2.000e-11
Metal1,20.5300,337.1200,Metal1,20.8700,337.1200,2.000e-11
Metal1,20.5300,344.9600,Metal1,20.8700,344.9600,2.000e-11
Metal1,20.5300,352.8000,Metal1,20.8700,352.8000,2.000e-11
Metal1,20.5300,360.6400,Metal1,20.8700,360.6400,2.000e-11
Metal1,20.5300,368.4800,Metal1,20.8700,368.4800,2.000e-11
Metal1,20.5300,376.3200,Metal1,20.8700,376.3200,2.000e-11
Metal1,20.5300,384.1600,Metal1,20.8700,384.1600,2.000e-11
Metal1,20.5300,392.0000,Metal1,20.8700,392.0000,2.000e-11
Metal1,20.5300,399.8400,Metal1,20.8700,399.8400,2.000e-11
Metal1,20.5300,407.6800,Metal1,20.8700,407.6800,2.000e-11
Metal1,20.5300,415.5200,Metal1,20.8700,415.5200,2.000e-11
Metal1,20.5300,423.3600,Metal1,20.8700,423.3600,2.000e-11
Metal1,20.5300,431.2000,Metal1,20.8700,431.2000,2.000e-11
Metal1,20.5300,439.0400,Metal1,20.8700,439.0400,2.000e-11
Metal1,20.5300,446.8800,Metal1,20.8700,446.8800,2.000e-11
Metal1,20.5300,454.7200,Metal1,20.8700,454.7200,2.000e-11
Metal1,20.5300,462.5600,Metal1,20.8700,462.5600,2.000e-11
Metal1,20.5300,470.4000,Metal1,20.8700,470.4000,2.000e-11
Metal1,20.5300,478.2400,Metal1,20.8700,478.2400,2.000e-11
Metal1,20.5300,486.0800,Metal1,20.8700,486.0800,2.000e-11
Metal1,20.5300,493.9200,Metal1,20.8700,493.9200,2.000e-11
Metal1,20.5300,501.7600,Metal1,20.8700,501.7600,2.000e-11
Metal1,20.5300,509.6000,Metal1,20.8700,509.6000,2.000e-11
Metal1,20.5300,517.4400,Metal1,20.8700,517.4400,2.000e-11
Metal1,20.5300,525.2800,Metal1,20.8700,525.2800,2.000e-11
Metal1,20.5300,533.1200,Metal1,20.8700,533.1200,2.000e-11
Metal1,20.5300,540.9600,Metal1,20.8700,540.9600,2.000e-11
Metal1,20.5300,548.8000,Metal1,20.8700,548.8000,2.000e-11
Metal1,20.5300,556.6400,Metal1,20.8700,556.6400,2.000e-11
Metal1,20.5300,564.4800,Metal1,20.8700,564.4800,2.000e-11
Metal1,20.5300,572.3200,Metal1,20.8700,572.3200,2.000e-11
Metal1,20.5300,580.1600,Metal1,20.8700,580.1600,2.000e-11
Metal1,20.5300,588.0000,Metal1,20.8700,588.0000,2.000e-11
Metal1,20.5300,595.8400,Metal1,20.8700,595.8400,2.000e-11
Metal1,20.5300,603.6800,Metal1,20.8700,603.6800,2.000e-11
Metal1,20.5300,611.5200,Metal1,20.8700,611.5200,2.000e-11
Metal1,20.5300,619.3600,Metal1,20.8700,619.3600,2.000e-11
Metal1,20.5300,627.2000,Metal1,20.8700,627.2000,2.000e-11
Metal1,20.5300,635.0400,Metal1,20.8700,635.0400,2.000e-11
Metal1,20.5300,642.8800,Metal1,20.8700,642.8800,2.000e-11
Metal1,20.5300,650.7200,Metal1,20.8700,650.7200,2.000e-11
Metal1,20.5300,658.5600,Metal1,20.8700,658.5600,2.000e-11
Metal1,20.5300,666.4000,Metal1,20.8700,666.4000,2.000e-11
Metal1,20.5300,674.2400,Metal1,20.8700,674.2400,2.000e-11
Metal1,20.5300,682.0800,Metal1,20.8700,682.0800,2.000e-11
Metal1,20.5300,689.9200,Metal1,20.8700,689.9200,2.000e-11
Metal1,20.5300,697.7600,Metal1,20.8700,697.7600,2.000e-11
Metal1,20.5300,705.6000,Metal1,20.8700,705.6000,2.000e-11
Metal1,20.5300,713.4400,Metal1,20.8700,713.4400,2.000e-11
Metal1,20.5300,721.2800,Metal1,20.8700,721.2800,2.000e-11
Metal1,20.5300,729.1200,Metal1,20.8700,729.1200,2.000e-11
Metal1,20.5300,736.9600,Metal1,20.8700,736.9600,2.000e-11
Metal1,20.5300,744.8000,Metal1,20.8700,744.8000,2.000e-11
Metal1,20.5300,752.6400,Metal1,20.8700,752.6400,2.000e-11
Metal1,20.5300,760.4800,Metal1,20.8700,760.4800,2.000e-11
Metal1,20.5300,768.3200,Metal1,20.8700,768.3200,2.000e-11
Metal1,20.5300,776.1600,Metal1,20.8700,776.1600,2.000e-11
Metal1,20.5300,784.0000,Metal1,20.8700,784.0000,2.000e-11
Metal1,20.5300,791.8400,Metal1,20.8700,791.8400,2.000e-11
Metal1,20.5300,799.6800,Metal1,20.8700,799.6800,2.000e-11
Metal1,20.5300,807.5200,Metal1,20.8700,807.5200,2.000e-11
Metal1,20.5300,815.3600,Metal1,20.8700,815.3600,2.000e-11
Metal1,20.5300,823.2000,Metal1,20.8700,823.2000,2.000e-11
Metal1,20.5300,831.0400,Metal1,20.8700,831.0400,2.000e-11
Metal1,20.5300,838.8800,Metal1,20.8700,838.8800,2.000e-11
Metal1,20.5300,846.7200,Metal1,20.8700,846.7200,2.000e-11
Metal1,20.5300,854.5600,Metal1,20.8700,854.5600,2.000e-11
Metal1,20.5300,862.4000,Metal1,20.8700,862.4000,2.000e-11
Metal1,20.5300,870.2400,Metal1,20.8700,870.2400,2.000e-11
Metal1,20.5300,878.0800,Metal1,20.8700,878.0800,2.000e-11
Metal1,20.5300,885.9200,Metal1,20.8700,885.9200,2.000e-11
Metal1,20.5300,893.7600,Metal1,20.8700,893.7600,2.000e-11
Metal1,20.5300,901.6000,Metal1,20.8700,901.6000,2.000e-11
Metal1,20.5300,909.4400,Metal1,20.8700,909.4400,2.000e-11
Metal1,20.5300,917.2800,Metal1,20.8700,917.2800,2.000e-11
Metal1,20.5300,925.1200,Metal1,20.8700,925.1200,2.000e-11
Metal1,20.5300,932.9600,Metal1,20.8700,932.9600,2.000e-11
Metal1,20.5300,940.8000,Metal1,20.8700,940.8000,2.000e-11
Metal1,20.5300,948.6400,Metal1,20.8700,948.6400,2.000e-11
Metal1,20.5300,956.4800,Metal1,20.8700,956.4800,2.000e-11
Metal1,20.5300,964.3200,Metal1,20.8700,964.3200,2.000e-11
Metal1,20.5300,972.1600,Metal1,20.8700,972.1600,2.000e-11
Metal1,20.5300,980.0000,Metal1,20.8700,980.0000,1.000e-11
Metal1,20.8700,23.5200,Metal1,22.0300,23.5200,2.000e-11
Metal1,20.8700,31.3600,Metal1,21.4700,31.3600,2.000e-11
Metal1,20.8700,39.2000,Metal1,21.5250,39.2000,2.000e-11
Metal1,20.8700,47.0400,Metal1,21.4700,47.0400,2.000e-11
Metal1,20.8700,54.8800,Metal1,21.5250,54.8800,2.000e-11
Metal1,20.8700,62.7200,Metal1,22.6500,62.7200,4.000e-11
Metal1,20.8700,70.5600,Metal1,21.5250,70.5600,2.000e-11
Metal1,20.8700,78.4000,Metal1,21.5250,78.4000,2.000e-11
Metal1,20.8700,86.2400,Metal1,22.0900,86.2400,4.000e-11
Metal1,20.8700,94.0800,Metal1,21.5250,94.0800,2.000e-11
Metal1,20.8700,101.9200,Metal1,21.5250,101.9200,2.000e-11
Metal1,20.8700,109.7600,Metal1,21.5250,109.7600,2.000e-11
Metal1,20.8700,117.6000,Metal1,21.5250,117.6000,2.000e-11
Metal1,20.8700,125.4400,Metal1,21.5250,125.4400,2.000e-11
Metal1,20.8700,133.2800,Metal1,21.5250,133.2800,2.000e-11
Metal1,20.8700,141.1200,Metal1,21.5250,141.1200,2.000e-11
Metal1,20.8700,148.9600,Metal1,21.5250,148.9600,2.000e-11
Metal1,20.8700,156.8000,Metal1,22.1500,156.8000,3.000e-11
Metal1,20.8700,164.6400,Metal1,21.5250,164.6400,2.000e-11
Metal1,20.8700,172.4800,Metal1,21.5250,172.4800,2.000e-11
Metal1,20.8700,180.3200,Metal1,21.5250,180.3200,2.000e-11
Metal1,20.8700,188.1600,Metal1,21.5250,188.1600,2.000e-11
Metal1,20.8700,196.0000,Metal1,21.5250,196.0000,2.000e-11
Metal1,20.8700,203.8400,Metal1,22.6650,203.8400,3.000e-11
Metal1,20.8700,211.6800,Metal1,21.5250,211.6800,2.000e-11
Metal1,20.8700,219.5200,Metal1,21.5250,219.5200,2.000e-11
Metal1,20.8700,227.3600,Metal1,21.5250,227.3600,2.000e-11
Metal1,20.8700,235.2000,Metal1,22.0300,235.2000,4.000e-11
Metal1,20.8700,243.0400,Metal1,22.6500,243.0400,4.000e-11
Metal1,20.8700,250.8800,Metal1,21.5250,250.8800,2.000e-11
Metal1,20.8700,258.7200,Metal1,21.5250,258.7200,2.000e-11
Metal1,20.8700,266.5600,Metal1,21.5250,266.5600,2.000e-11
Metal1,20.8700,274.4000,Metal1,21.5250,274.4000,2.000e-11
Metal1,20.8700,282.2400,Metal1,21.5250,282.2400,2.000e-11
Metal1,20.8700,290.0800,Metal1,21.5250,290.0800,2.000e-11
Metal1,20.8700,297.9200,Metal1,21.5250,297.9200,2.000e-11
Metal1,20.8700,305.7600,Metal1,21.5250,305.7600,2.000e-11
Metal1,20.8700,313.6000,Metal1,21.5250,313.6000,2.000e-11
Metal1,20.8700,321.4400,Metal1,21.5300,321.4400,2.000e-11
Metal1,20.8700,329.2800,Metal1,22.8550,329.2800,5.000e-11
Metal1,20.8700,337.1200,Metal1,21.5250,337.1200,2.000e-11
Metal1,20.8700,344.9600,Metal1,21.5250,344.9600,2.000e-11
Metal1,20.8700,352.8000,Metal1,21.5250,352.8000,2.000e-11
Metal1,20.8700,360.6400,Metal1,21.5250,360.6400,2.000e-11
Metal1,20.8700,368.4800,Metal1,21.5250,368.4800,2.000e-11
Metal1,20.8700,376.3200,Metal1,22.0900,376.3200,4.000e-11
Metal1,20.8700,384.1600,Metal1,21.5800,384.1600,2.000e-11
Metal1,20.8700,392.0000,Metal1,22.6500,392.0000,4.000e-11
Metal1,20.8700,399.8400,Metal1,21.5250,399.8400,2.000e-11
Metal1,20.8700,407.6800,Metal1,21.5250,407.6800,2.000e-11
Metal1,20.8700,415.5200,Metal1,22.6500,415.5200,4.000e-11
Metal1,20.8700,423.3600,Metal1,21.5300,423.3600,2.000e-11
Metal1,20.8700,431.2000,Metal1,21.4700,431.2000,2.000e-11
Metal1,20.8700,439.0400,Metal1,24.3450,439.0400,5.000e-11
Metal1,20.8700,446.8800,Metal1,21.9050,446.8800,2.000e-11
Metal1,20.8700,454.7200,Metal1,21.5300,454.7200,2.000e-11
Metal1,20.8700,462.5600,Metal1,21.4700,462.5600,2.000e-11
Metal1,20.8700,470.4000,Metal1,21.5250,470.4000,2.000e-11
Metal1,20.8700,478.2400,Metal1,21.4700,478.2400,2.000e-11
Metal1,20.8700,486.0800,Metal1,22.5900,486.0800,3.000e-11
