Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_243_1710,VDD,Metal1,978.3200,976.0800,4.999994
FILLER_243_1702,VDD,Metal1,976.0265,976.6565,4.999994
FILLER_243_1699,VDD,Metal1,971.8800,976.0800,4.999994
FILLER_243_1691,VDD,Metal1,969.8665,976.6565,4.999994
FILLER_243_1658,VDD,Metal1,950.1400,976.5125,4.999994
FILLER_243_1642,VDD,Metal1,944.7680,976.7720,4.999994
FILLER_243_1628,VDD,Metal1,933.3400,976.5125,4.999994
FILLER_243_1612,VDD,Metal1,927.9680,976.7720,4.999994
FILLER_243_1606,VDD,Metal1,919.8000,976.0800,4.999993
FILLER_243_1604,VDD,Metal1,918.9600,976.0800,4.999993
FILLER_243_1600,VDD,Metal1,917.6600,976.5125,4.999993
FILLER_243_1597,VDD,Metal1,914.7600,976.0800,4.999993
FILLER_243_1589,VDD,Metal1,912.7465,976.6565,4.999993
FILLER_243_1532,VDD,Metal1,878.3600,976.0800,4.999992
FILLER_243_1521,VDD,Metal1,872.2000,976.0800,4.999992
FILLER_243_1519,VDD,Metal1,871.3600,976.0800,4.999992
FILLER_243_1515,VDD,Metal1,870.0600,976.5125,4.999992
FILLER_243_1507,VDD,Metal1,866.8265,976.6565,4.999992
FILLER_243_1487,VDD,Metal1,853.1600,976.0800,4.999993
FILLER_243_1479,VDD,Metal1,851.1465,976.6565,4.999993
FILLER_243_1461,VDD,Metal1,838.6000,976.0800,4.999993
FILLER_243_1453,VDD,Metal1,836.5865,976.6565,4.999993
FILLER_243_1430,VDD,Metal1,823.7065,976.6565,4.999993
FILLER_243_1398,VDD,Metal1,803.3200,976.0800,4.999994
FILLER_243_1396,VDD,Metal1,802.4800,976.0800,4.999994
FILLER_243_1362,VDD,Metal1,792.5155,976.8485,4.999994
FILLER_243_1338,VDD,Metal1,769.7200,976.0800,4.999993
FILLER_243_1336,VDD,Metal1,768.8800,976.0800,4.999993
FILLER_243_1328,VDD,Metal1,766.5865,976.6565,4.999993
FILLER_243_1325,VDD,Metal1,762.4400,976.0800,4.999993
FILLER_243_1317,VDD,Metal1,760.4265,976.6565,4.999993
FILLER_243_1294,VDD,Metal1,747.5465,976.6565,4.999993
FILLER_243_1280,VDD,Metal1,737.5200,976.0800,4.999994
FILLER_243_1276,VDD,Metal1,736.2200,976.5125,4.999994
FILLER_243_1260,VDD,Metal1,730.8480,976.7720,4.999994
FILLER_243_1257,VDD,Metal1,724.3600,976.0800,4.999995
FILLER_243_1255,VDD,Metal1,723.5200,976.0800,4.999995
FILLER_243_1251,VDD,Metal1,722.2200,976.5125,4.999995
FILLER_243_1243,VDD,Metal1,718.9865,976.6565,4.999995
FILLER_243_1200,VDD,Metal1,694.9065,976.6565,4.999995
FILLER_243_1172,VDD,Metal1,676.7600,976.0800,4.999996
FILLER_243_1170,VDD,Metal1,675.9200,976.0800,4.999996
FILLER_243_1166,VDD,Metal1,674.6200,976.5125,4.999996
FILLER_243_1158,VDD,Metal1,671.3865,976.6565,4.999996
FILLER_243_1152,VDD,Metal1,666.7800,976.5125,4.999996
FILLER_243_1124,VDD,Metal1,652.3465,976.6565,4.999996
FILLER_243_1106,VDD,Metal1,644.6080,976.7720,4.999996
FILLER_243_1100,VDD,Metal1,636.4400,976.0800,4.999996
FILLER_243_1098,VDD,Metal1,635.6000,976.0800,4.999996
FILLER_243_1090,VDD,Metal1,633.3065,976.6565,4.999996
FILLER_243_1056,VDD,Metal1,621.1555,976.8485,4.999996
FILLER_243_1053,VDD,Metal1,610.1200,976.0800,4.999995
FILLER_243_1049,VDD,Metal1,609.1000,976.5125,4.999995
FILLER_243_1040,VDD,Metal1,602.8400,976.0800,4.999995
FILLER_243_1038,VDD,Metal1,602.0000,976.0800,4.999995
FILLER_243_1030,VDD,Metal1,599.7065,976.6565,4.999995
FILLER_243_1019,VDD,Metal1,591.0800,976.0800,4.999994
FILLER_243_988,VDD,Metal1,578.5280,976.7720,4.999993
FILLER_243_978,VDD,Metal1,570.5865,976.6565,4.999993
FILLER_243_962,VDD,Metal1,563.9680,976.7720,4.999992
FILLER_243_956,VDD,Metal1,555.8000,976.0800,4.999992
FILLER_243_954,VDD,Metal1,554.9600,976.0800,4.999992
