Metric,Value
design__io,125
design__die__area,1.2321E+6
design__core__area,1.14045E+6
design__instance__count,69305
design__instance__area,1.14045E+6
design__instance__count__stdcell,34565
design__instance__area__stdcell,754462
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.661547
design__instance__utilization__stdcell,0.661547
design__rows,272
design__rows:GF018hv5v_mcu_sc7,272
design__sites,519520
design__sites:GF018hv5v_mcu_sc7,519520
design__instance__count__class:endcap_cell,544
design__instance__area__class:endcap_cell,2388.38
design__instance__count__class:tap_cell,7402
design__instance__area__class:tap_cell,32497.7
design__instance__count__class:tie_cell,94
design__instance__area__class:tie_cell,825.395
design__instance__count__class:inverter,1111
design__instance__area__class:inverter,9847.67
design__instance__count__class:sequential_cell,3042
design__instance__area__class:sequential_cell,227783
design__instance__count__class:multi_input_combinational_cell,18164
design__instance__area__class:multi_input_combinational_cell,369687
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:GRT-0281,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,0
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.0487787090241909
power__switching__total,0.019299594685435295
power__leakage__total,0.000008043431080295704
power__total,0.06808634847402573
clock__skew__worst_hold__corner:nom_tt_025C_5v00,0.4010782930409331
clock__skew__worst_setup__corner:nom_tt_025C_5v00,0.4010782930409331
timing__hold__ws__corner:nom_tt_025C_5v00,0.7290497301103261
timing__setup__ws__corner:nom_tt_025C_5v00,72.44534777126607
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.729050
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,72.445351
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.7391691912213775
clock__skew__worst_setup,0.25298996946775576
timing__hold__ws,0.44617322210822696
timing__setup__ws,47.303033939851886
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.446173
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,47.303036
timing__setup_r2r_vio__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,10.08
design__instance__displacement__mean,0
design__instance__displacement__max,7.84
route__wirelength__estimated,970091
design__violations,0
design__instance__count__class:timing_repair_buffer,3162
design__instance__area__class:timing_repair_buffer,68459.5
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,619
