Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_271_1906,VDD,Metal1,1088.0800,1085.8400,4.986670
FILLER_271_1896,VDD,Metal1,1083.4200,1086.2725,4.986670
FILLER_271_1888,VDD,Metal1,1080.1865,1086.4165,4.986669
FILLER_271_1872,VDD,Metal1,1073.5680,1086.5320,4.986668
FILLER_271_1838,VDD,Metal1,1059.0755,1086.6085,4.986668
FILLER_271_1828,VDD,Metal1,1046.5865,1086.4165,4.986668
FILLER_271_1808,VDD,Metal1,1033.2000,1085.8400,4.986668
FILLER_271_1804,VDD,Metal1,1031.9000,1086.2725,4.986668
FILLER_271_1770,VDD,Metal1,1020.9955,1086.6085,4.986668
FILLER_271_1752,VDD,Metal1,1006.3680,1086.5320,4.986666
FILLER_271_1744,VDD,Metal1,998.3000,1086.2725,4.986664
FILLER_271_1736,VDD,Metal1,993.8200,1086.2725,4.986664
FILLER_271_1702,VDD,Metal1,982.9155,1086.6085,4.986664
FILLER_271_1668,VDD,Metal1,963.8755,1086.6085,4.986664
FILLER_271_1665,VDD,Metal1,952.8400,1085.8400,4.986664
FILLER_271_1663,VDD,Metal1,952.0000,1085.8400,4.986664
FILLER_271_1636,VDD,Metal1,936.6000,1085.8400,4.986664
FILLER_271_1600,VDD,Metal1,921.2480,1086.5320,4.986663
FILLER_271_1597,VDD,Metal1,914.7600,1085.8400,4.986660
FILLER_271_1595,VDD,Metal1,913.9200,1085.8400,4.986660
FILLER_271_1574,VDD,Metal1,906.6880,1086.5320,4.986660
FILLER_271_1563,VDD,Metal1,895.7200,1085.8400,4.986653
FILLER_271_1561,VDD,Metal1,894.8800,1085.8400,4.986653
FILLER_271_1548,VDD,Metal1,889.7865,1086.4165,4.986653
FILLER_271_1532,VDD,Metal1,883.1680,1086.5320,4.986653
FILLER_271_1498,VDD,Metal1,868.6755,1086.6085,4.986653
FILLER_271_1464,VDD,Metal1,849.6355,1086.6085,4.986653
FILLER_271_1430,VDD,Metal1,830.5955,1086.6085,4.986653
FILLER_271_1396,VDD,Metal1,811.5555,1086.6085,4.986653
FILLER_271_1389,VDD,Metal1,798.2800,1085.8400,4.986653
